filename,class,duration,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,silence_ratio,voice_activity_ratio,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
human_001.wav,HUMAN,3.0,182.51,26.61,126.98,231.88,104.9,0.000181,7.4e-05,0.028632,0.004052,644.71,101.89,1074.78,187.33,744.9,103.61,0.0,1.0,-2473.3911,25.1381,177.7905,23.7559,163.3273,21.4203,136.6306,17.1583,104.6559,16.2744,70.0835,20.5004,37.8081,23.8083,8.017,26.5254,-19.514,26.7198,-37.5778,24.9344,-50.0962,19.6675,-56.2702,14.6516,-53.9444,10.2163
human_002.wav,HUMAN,3.0,131.51,21.38,90.91,175.82,84.92,0.000181,7.2e-05,0.023339,0.002907,555.78,100.12,1114.81,195.43,564.56,51.89,0.0,1.0,-2493.3608,23.2412,151.9704,20.4194,144.7687,19.1072,132.8665,16.0657,116.2182,13.7084,98.9768,12.1416,79.6447,13.0917,58.598,15.7117,37.7563,18.2815,19.3753,20.0865,3.4567,21.2493,-12.6716,21.8669,-23.5786,19.6144
human_003.wav,HUMAN,3.0,101.11,24.75,69.26,152.38,83.12,0.000181,7.5e-05,0.028772,0.002246,550.03,143.46,1161.45,245.55,700.99,410.35,0.0,1.0,-2504.8076,28.31,140.7679,30.1536,133.1216,26.2665,121.173,22.9896,108.9756,19.3173,91.9159,14.8103,76.9929,12.7328,61.5788,12.0628,46.197,14.3613,32.6097,18.009,20.1178,22.297,13.0625,23.9118,5.5764,26.7292
human_004.wav,HUMAN,3.0,201.02,17.05,163.27,231.88,68.62,0.000183,7.6e-05,0.030492,0.003093,706.81,123.13,1112.19,207.73,854.61,261.28,0.0,1.0,-2480.8142,25.9322,166.3923,24.3285,148.9034,22.7645,120.3922,17.7568,86.751,13.8035,52.9755,11.3116,18.7437,11.9094,-10.9645,12.629,-35.7175,13.5958,-50.1496,14.1674,-58.3768,13.2044,-57.0674,11.2356,-50.7749,10.052
human_005.wav,HUMAN,3.0,149.38,17.82,115.11,179.78,64.67,0.000182,7.6e-05,0.027874,0.002696,602.63,136.45,1100.84,224.87,713.82,352.44,0.0,1.0,-2486.0652,26.6803,163.2698,22.7896,151.3476,22.3427,134.7878,18.6943,115.9436,16.7122,91.9448,15.023,67.3777,13.1969,44.3217,13.3037,16.895,14.0322,-4.349,15.0424,-20.4167,15.4177,-35.0741,13.8757,-42.6356,13.1921
human_006.wav,HUMAN,3.0,110.71,27.13,72.07,170.21,98.14,0.000183,7.5e-05,0.028746,0.003169,546.76,107.5,1132.83,210.52,647.78,160.98,0.0,1.0,-2497.426,25.3418,148.0197,26.6242,140.8497,22.3929,128.1955,19.069,113.6794,15.4318,95.4525,13.0838,76.6377,12.4448,58.8347,13.6651,42.0832,17.787,25.5041,22.7411,13.5692,25.8542,1.6542,27.6377,-4.7594,29.1537
human_007.wav,HUMAN,3.0,208.28,16.81,183.91,231.88,47.98,0.00018,7.6e-05,0.032414,0.002622,718.25,96.12,1095.2,192.39,850.33,63.34,0.0,1.0,-2478.9177,25.6531,172.6458,27.4635,152.2858,23.459,120.573,18.7187,85.0897,13.4079,47.1339,10.3696,10.92,10.5881,-21.4574,10.6929,-46.8156,11.5905,-58.5109,13.4789,-65.1516,12.9869,-60.321,10.452,-51.7214,10.277
human_008.wav,HUMAN,3.0,193.88,17.65,164.95,228.57,63.62,0.00018,7.7e-05,0.02859,0.002846,690.54,117.41,1114.21,226.53,820.48,197.37,0.0,1.0,-2481.6321,29.8834,168.8026,30.8451,151.0557,25.0776,125.939,19.5013,94.6256,15.3183,58.8179,11.1065,27.0094,11.5076,-4.5725,14.0639,-29.9262,14.8402,-46.9572,15.0958,-57.9539,15.1558,-59.3536,14.2179,-55.1482,12.2786
human_009.wav,HUMAN,3.0,136.07,15.46,108.84,163.27,54.42,0.000182,7.6e-05,0.030486,0.002156,572.93,98.62,1085.18,203.23,692.35,93.7,0.0,1.0,-2481.3586,23.4212,169.9288,22.2089,160.0316,18.9557,141.3231,16.5421,122.4741,14.0743,99.3458,11.3467,73.595,10.4415,47.9778,9.0257,22.6857,8.9982,2.9148,10.5062,-14.9803,10.2899,-27.3935,10.0409,-35.8838,10.5238
human_010.wav,HUMAN,3.0,210.52,25.1,164.95,262.3,97.35,0.000184,7.7e-05,0.032715,0.002663,725.35,123.05,1091.67,217.79,887.09,234.19,0.0,1.0,-2476.5442,30.5567,172.9978,30.9914,151.6352,25.7831,121.2946,23.0228,83.2475,19.2088,44.8493,20.2523,9.1641,20.5005,-21.9565,20.7036,-44.3143,19.735,-57.3312,16.4045,-60.5054,14.0796,-55.4647,13.7211,-47.5538,16.2077
human_011.wav,HUMAN,3.0,141.57,19.38,107.38,181.82,74.44,0.00018,7.7e-05,0.024373,0.002651,579.21,123.24,1108.91,231.35,616.53,243.22,0.0,1.0,-2488.4524,23.9945,161.0787,24.1886,149.9212,19.6273,135.9872,19.3929,117.747,15.635,96.3055,13.059,73.458,12.5909,50.6304,14.0255,27.0095,16.6298,7.2714,16.5682,-10.9399,17.2319,-25.7847,17.5182,-36.2867,16.2097
human_012.wav,HUMAN,3.0,116.7,21.41,76.56,160.0,83.44,0.000183,7.8e-05,0.023593,0.002722,528.61,126.28,1108.49,227.96,580.02,292.53,0.0,1.0,-2498.0007,23.8846,150.3831,22.099,141.2826,20.5347,130.8257,16.6299,118.5047,14.0982,103.4414,11.4042,86.2738,12.2147,69.4287,12.6185,50.7351,15.4728,34.6574,16.9005,16.4474,18.6661,2.6649,19.9724,-10.2292,19.0587
human_013.wav,HUMAN,3.0,215.58,13.93,195.12,235.29,40.17,0.000184,7.2e-05,0.031894,0.002666,718.8,93.35,1077.61,187.47,880.1,56.87,0.0,1.0,-2472.6443,26.7066,177.8288,27.2485,156.49,22.4015,122.2933,18.0721,84.5063,11.9663,43.2751,9.3692,3.0023,8.7905,-28.8675,10.9322,-50.451,12.7647,-59.7511,13.2325,-63.4795,11.6309,-57.3836,9.9363,-44.6791,9.7891
human_014.wav,HUMAN,3.0,195.73,25.09,146.79,250.0,103.21,0.000183,7.5e-05,0.029847,0.003513,686.53,106.26,1102.24,204.64,803.62,94.31,0.0,1.0,-2481.1062,28.5955,167.8123,30.4689,151.2547,25.8629,125.6673,21.8486,91.5897,18.8997,58.0741,17.4165,24.1519,21.6243,-6.6796,21.1337,-30.7044,21.4127,-46.1119,20.315,-53.2996,15.5606,-54.5848,11.8128,-50.9809,11.4788
human_015.wav,HUMAN,3.0,137.9,25.22,93.57,190.48,96.91,0.000179,7.9e-05,0.029946,0.002685,616.53,136.36,1148.85,236.77,757.4,284.6,0.0,1.0,-2495.8022,25.7623,150.8298,24.9266,141.0584,22.7623,127.2405,20.593,106.9763,16.5207,87.4769,16.05,64.1193,17.9394,43.9195,19.0345,21.7844,20.5656,3.2294,22.8675,-11.3994,22.8051,-23.998,22.5377,-31.6576,21.125
human_016.wav,HUMAN,3.0,219.8,28.17,170.21,275.86,105.65,0.000184,7.4e-05,0.029931,0.003278,715.87,121.68,1060.19,204.07,917.02,294.6,0.0,1.0,-2464.0569,32.2283,188.7995,29.837,164.9306,24.8065,128.6532,21.1231,85.5646,21.9058,41.5038,23.0656,-0.1407,26.8291,-32.1478,23.3035,-53.5555,20.3244,-61.9283,14.9003,-62.4094,11.9861,-55.5831,15.7288,-43.1291,18.4236
human_017.wav,HUMAN,3.0,132.11,21.57,90.4,175.82,85.43,0.000184,7.5e-05,0.027489,0.003107,579.0,129.4,1126.36,217.9,671.71,301.99,0.0,1.0,-2494.24,23.941,150.9114,21.4172,143.49,19.4462,129.4704,18.196,113.8889,16.051,95.0944,14.4248,74.8053,13.7927,54.173,15.0823,33.4206,16.7637,14.7292,18.1439,-0.4618,17.4124,-17.2711,17.0284,-28.1502,16.7663
human_018.wav,HUMAN,3.0,132.4,18.61,99.38,172.04,72.66,0.000182,7.3e-05,0.026139,0.003056,551.26,95.42,1081.5,194.2,632.15,62.64,0.0,1.0,-2488.1995,21.6956,162.6009,19.9595,152.2861,17.0634,139.9398,16.0407,121.5797,13.2787,102.3865,11.9695,80.7261,11.997,59.7993,11.1553,35.7569,13.5894,15.7541,13.7584,-2.6037,15.4278,-17.024,14.6551,-27.9757,15.6898
